CMO_NUMSTATES	CMO_SIZE	LEVEL	LOCALE15	PVI2017	PVI2014	RLAPROF_1516	MTHPROF_1516	ess_strength	prog_strength	SD_lv_PVI_2014	SD_lv_PVI_2017	POP_DENSE_SD	PCT_AGE65_SD	PCT_WHITE_SD	PCT_HSONLY_SD	PCT_BA_SD	PCT_UNEMPLOYED_SD	MEDIAN_INCOME	PER_CAPITA_INCOME	Gini Index	PCT_POVERTY_SD	PCT_CHILDPOV_SD	PCT_FROMABROAD_SD	PCT_FOREIGN_SD	PCT_NONCITIZEN_SD	PCT_NOINSURANCE_SD	close_rate15	close_rate16	MEMBER	TITLEI	FTE	YEAR_CLOSED	PCTETH	AGE	PCTFRL	PLACE	PROG_COUNT	RIT_COUNT	ESS_COUNT	ESS_STR	PROG_STR	RIT_STR	NUMWORDS	PROG_NORM	ESS_NORM	RIT_NORM	PCT_CHILDPOV_SAIPE16	high_ess	high_prog	high_both	low_both
1.0	206.0	1	City (large)	-14.0	-15.0	29.0	24.0			-15.0	-14.0																0.0	0.0	122.0	Yes	-1.0		0.5833333333333334	11.0	0.7129629629629629	City	2	2	0	-6.0	-2.2121876044039577	-2.2121876044039577	328	0.7830133010135127	0.0	0.7750323722470177		0	1	0	0
2.0	8433.0	3	City (large)	-40.0	-38.0	51.0	23.0	0.07575757575757576	0.060606060606060615	-38.0	-40.0																0.0	0.0	735.0	Yes	51.72		0.9986541049798116	9.0	0.7133243606998654	City	5	12	0	-6.0	-2.2415464805965484	-1.8628268069746885	876	0.7769442595297437	0.0	0.8465158300646559		0	1	0	0
		1	Suburb (small)	17.0	17.0	66.0	50.0	0.09615384615384616	0.25	17.0	17.0																0.0	0.0	449.0	Yes	18.55		0.1372093023255814	7.0	0.34651162790697676	Suburb	4	5	0	-6.0	-2.1724569744005873	-2.074816440645175	595	0.791226382470888	0.0	0.8031401790249059		0	1	0	0
		1	Rural (remote)	8.0	5.0	34.0	34.0	0.35897435897435903	0.2307692307692308	5.0	8.0	35.19358	23.04	96.54	42.51	9.31	7.03	45897.0	24370.0	0.3986	7.41	18.81	0.13	1.3	0.63	8.27	0.0	0.0	364.0	Yes	-1.0		0.11764705882352941	17.0	0.5798319327731093	Rural	6	11	0	-6.0	-2.061954844073114	-1.7980853622159734	696	0.8140692872402316	0.0	0.8597627151459721	0.19976635514018692	0	1	0	0
		2	City (large)	10.0	12.0	61.0	64.0			12.0	10.0																0.0	0.0	417.0	NaN	-1.0		0.9565217391304348	0.0	0.8434782608695652	City	1	2	0	-6.0	-2.0170333392987803	-1.716003343634799	104	0.8233554218388568	0.0	0.8765576920180462		0	1	0	0
		1	City (small)	-14.0	-11.0	59.0	39.0	0.03125	0.34375	-10.582089552238806	-13.522388059701493	368.7628	12.86	81.31	25.22	23.49	5.26	85715.0	38280.0	0.4002	4.82	9.65	0.52	9.9	4.94	6.08	0.0	0.0	300.0	No	16.42		0.3233333333333333	13.0	0.13	City	3	5	0	-6.0	-2.010017120757524	-1.7895807121644256	309	0.8248058084649232	0.0	0.8615028697302501	0.0672958555601149	0	1	0	0
1.0	1990.0	1	Suburb (large)	-2.0	1.0					2.382857142857143	0.2457142857142857	3431.526	22.98	82.48	29.06	19.24	7.35	47090.0	31035.0	0.4861	9.52	21.16	0.63	11.46	4.81	13.82	0.005681818181818182	0.017045454545454544					0.2222222222222222	0.0		Suburb	4	5	0	-6.0	-1.9590413923210934	-1.8621313793130372	365	0.8353434669405607	0.0	0.8466581230015927	0.17057168031069025	0	1	0	0
1.0	758.0	1	City (small)	21.0	20.0	39.0	39.0	0.05	0.2	11.0	9.75																0.0	0.0	197.0	Yes	-1.0		0.7571428571428571	17.0	-0.004761904761904762	City	2	2	0	-6.0	-2.2430380486862944	-2.2430380486862944	351	0.7766359238648104	0.0	0.7687199970499744		0	1	0	0
		4	City (small)	-30.0	-29.0	16.0	4.0	0.0933852140077821	0.12840466926070038	-29.0	-30.0																0.0	0.0	412.0	Yes	21.0		0.9959432048681541	11.0	0.5517241379310345	City	3	1	0	-6.0	-1.9941704563392761	-2.4712917110589387	296	0.8280816172221395	0.0	0.7220165284123986		0	1	0	0
		1	City (small)	-1.0	2.0	82.0	87.0	0.1412119064493267	0.1654854712969525	2.0	-1.0																0.0	0.0	414.0	No	25.2		0.4915254237288136	5.0	0.15738498789346247	City	9	0	0	-6.0	-2.1516081649458187	-6.0	1285	0.7955362303219484	0.0	0.0		0	1	0	0
